"filename", "language", "JSON", "TypeScript", "JavaScript", "JSON with Comments", "Markdown", "SVG", "TypeScript React", "CSS", "HTML", "comment", "blank", "total"
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Home/Section2/Section2a.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 64, 0, 0, 7, 8, 79
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Home/Section2/drawAnimation.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Home/Section2/houseAnimation.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 56, 0, 0, 6, 7, 69
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Home/Section3/Framework.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 48, 0, 0, 4, 6, 58
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Home/Section3/accordionData.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 3, 35
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Home/Section4/Orange.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 11, 51
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Home/Section4/Section4.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Home/Section4/Tan.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 10, 44
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Home/Square.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 73, 0, 0, 1, 7, 81
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Home/Stories/Stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 7, 39
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Luxe/Luxe.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Luxe/assets/images/background.svg", "SVG", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Luxe/assets/images/bgLG.svg", "SVG", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Luxe/assets/images/palletLG.svg", "SVG", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Luxe/components/Device.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 38, 0, 0, 3, 9, 50
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Luxe/components/Hero.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 28, 0, 0, 2, 11, 41
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Luxe/components/Intro.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 71, 0, 0, 6, 13, 90
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Luxe/components/ResponsiveBackground.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 33, 0, 0, 2, 12, 47
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Luxe/components/ResponsiveBackground2.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 33, 0, 0, 2, 12, 47
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Luxe/components/Style.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 45, 0, 0, 4, 9, 58
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Luxe/components/core/LuxeText.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 3, 46
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Luxe/components/story/Image.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 71, 0, 0, 3, 11, 85
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Luxe/components/story/Story.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 30, 0, 0, 2, 12, 44
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Luxe/constants/LuxeColour.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Luxe/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Luxe/types/index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/PE/Pe.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 5, 40
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/PE/assets/images/bg.svg", "SVG", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/PE/assets/images/styleLG.svg", "SVG", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
